Date,Time,Avg Wait Time (US),Max Wait Time (US),Avg Wait Time (Non-US),Max Wait Time (Non-US),Avg Wait Time,Max Wait Time,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
12/7/2015,0600 - 0700,13,38,18,41,16,41,946,1073,149,0,0,0,0,68,2236,7,49
12/7/2015,0700 - 0800,9,32,13,33,12,33,786,332,20,0,0,0,0,32,1170,4,49
12/7/2015,0800 - 0900,11,51,22,51,19,51,363,248,206,11,0,0,0,23,851,3,32
12/7/2015,0900 - 1000,8,44,20,53,17,53,608,476,175,18,0,0,0,44,1321,7,36
12/7/2015,1000 - 1100,7,20,10,24,9,24,310,57,0,0,0,0,0,13,380,2,38
12/7/2015,1100 - 1200,6,22,9,23,8,23,799,160,0,0,0,0,0,49,1008,5,38
12/7/2015,1200 - 1300,12,67,16,69,14,69,837,468,66,20,16,0,0,73,1480,5,42
12/7/2015,1300 - 1400,21,76,26,82,24,82,496,484,204,131,69,0,0,45,1429,6,43
12/7/2015,1400 - 1500,10,50,22,71,18,71,435,292,122,22,17,0,0,36,924,5,34
12/7/2015,1500 - 1600,9,23,12,23,10,23,379,66,0,0,0,0,0,11,456,3,23
12/7/2015,1600 - 1700,12,72,16,72,14,72,882,356,104,21,15,0,0,47,1425,7,29
12/7/2015,1700 - 1800,7,31,13,31,11,31,442,202,4,0,0,0,0,19,667,3,32
12/7/2015,1800 - 1900,19,56,22,59,21,59,483,412,167,113,0,0,0,35,1210,6,32
12/7/2015,1900 - 2000,7,30,15,30,10,30,403,159,0,0,0,0,0,15,577,3,21
12/7/2015,2000 - 2100,0,0,0,0,0,0,33,0,0,0,0,0,0,3,36,1,9
12/7/2015,2200 - 2300,6,23,10,23,7,23,281,55,0,0,0,0,0,8,344,3,10
12/8/2015,0500 - 0600,5,22,8,30,7,30,147,10,0,0,0,0,0,9,166,1,26
12/8/2015,0600 - 0700,10,39,18,56,16,56,1128,846,164,20,0,0,0,76,2234,8,44
12/8/2015,0700 - 0800,7,34,19,42,17,42,417,346,122,0,0,0,0,49,934,4,47
12/8/2015,0800 - 0900,7,41,27,64,22,64,561,327,282,156,9,0,0,62,1397,6,34
12/8/2015,0900 - 1000,10,43,25,56,20,56,366,292,163,50,0,0,0,25,896,6,34
12/8/2015,1000 - 1100,10,26,11,28,11,28,426,104,0,0,0,0,0,11,541,2,32
12/8/2015,1100 - 1200,9,26,13,28,11,28,646,283,0,0,0,0,0,36,965,4,31
12/8/2015,1200 - 1300,14,66,24,81,20,81,561,369,185,34,43,0,0,60,1252,5,39
12/8/2015,1300 - 1400,20,73,37,79,31,79,385,363,374,212,129,0,0,43,1506,7,37
12/8/2015,1400 - 1500,18,73,36,80,30,80,241,128,140,149,73,0,0,41,772,4,30
12/8/2015,1500 - 1600,9,45,14,47,11,47,590,185,63,4,0,0,0,24,866,5,25
12/8/2015,1600 - 1700,7,25,10,39,9,39,476,104,12,0,0,0,0,22,614,4,23
12/8/2015,1700 - 1800,9,30,13,31,12,31,408,166,8,0,0,0,0,18,600,2,26
12/8/2015,1800 - 1900,14,63,15,70,15,70,622,230,66,30,18,0,0,27,993,5,24
12/8/2015,1900 - 2000,15,59,29,63,22,63,247,248,111,63,3,0,0,19,691,3,20
12/8/2015,2000 - 2100,1,10,3,12,1,12,180,0,0,0,0,0,0,5,185,2,14
12/8/2015,2100 - 2200,0,0,0,0,0,0,111,0,0,0,0,0,0,4,115,1,10
12/8/2015,2200 - 2300,10,44,20,44,16,44,233,76,71,0,0,0,0,10,390,3,8
12/9/2015,0600 - 0700,13,42,20,49,18,49,804,655,357,6,0,0,0,54,1876,6,46
12/9/2015,0700 - 0800,7,36,16,37,14,37,713,531,51,0,0,0,0,36,1331,5,50
12/9/2015,0800 - 0900,6,24,11,26,9,26,211,66,0,0,0,0,0,9,286,1,25
12/9/2015,0900 - 1000,12,44,20,49,18,49,878,749,276,26,0,0,0,52,1981,9,34
12/9/2015,1000 - 1100,17,56,25,64,22,64,404,392,171,71,24,0,0,32,1094,5,29
12/9/2015,1100 - 1200,11,35,30,57,22,57,210,78,135,33,0,0,0,15,471,2,27
12/9/2015,1200 - 1300,10,36,20,47,16,47,475,323,125,3,0,0,0,31,957,4,32
12/9/2015,1300 - 1400,14,75,34,81,27,81,559,501,353,195,108,0,0,54,1770,7,33
12/9/2015,1400 - 1500,14,76,53,108,40,108,483,286,211,182,408,106,0,80,1756,10,35
12/9/2015,1600 - 1700,10,52,15,55,13,55,756,261,89,24,0,0,0,64,1194,9,24
12/9/2015,1700 - 1800,19,47,36,48,24,48,68,78,89,10,0,0,0,7,252,2,22
12/9/2015,1800 - 1900,13,72,27,68,22,72,467,349,155,132,24,0,0,38,1165,5,22
12/9/2015,1900 - 2000,25,74,39,74,32,74,258,269,213,170,133,0,0,74,1117,5,35
12/9/2015,2000 - 2100,4,23,9,23,6,23,334,40,0,0,0,0,0,10,384,2,16
12/9/2015,2100 - 2200,7,28,16,28,10,28,171,71,0,0,0,0,0,4,246,1,13
12/9/2015,2200 - 2300,10,49,23,50,14,50,176,42,65,18,0,0,0,10,311,3,10
12/10/2015,0600 - 0700,12,58,28,68,24,68,968,961,553,383,32,0,0,86,2983,10,48
12/10/2015,0700 - 0800,11,43,35,58,31,58,176,93,269,163,0,0,0,16,717,2,40
12/10/2015,0800 - 0900,18,76,36,86,31,86,280,283,161,125,128,0,0,30,1007,5,38
12/10/2015,0900 - 1000,14,59,32,68,25,68,528,314,349,221,23,0,0,56,1491,7,40
12/10/2015,1000 - 1100,8,27,14,33,12,33,261,85,11,0,0,0,0,10,367,2,32
12/10/2015,1100 - 1200,14,55,22,62,19,62,485,402,194,30,3,0,0,34,1148,5,31
12/10/2015,1200 - 1300,22,72,24,75,23,75,189,293,114,29,10,0,0,20,655,3,35
12/10/2015,1300 - 1400,16,81,36,101,30,101,624,573,284,180,254,41,0,91,2047,6,39
12/10/2015,1400 - 1500,23,106,54,112,40,112,386,455,180,175,242,160,0,62,1660,6,36
12/10/2015,1500 - 1600,1,30,18,47,14,47,249,99,83,6,0,0,0,13,450,3,26
12/10/2015,1600 - 1700,6,25,11,26,9,26,395,124,0,0,0,0,0,17,536,4,28
12/10/2015,1700 - 1800,15,66,24,66,20,66,677,543,311,118,5,0,0,83,1737,6,37
12/10/2015,1800 - 1900,2,15,8,33,7,33,446,34,4,0,0,0,0,16,500,3,30
12/10/2015,1900 - 2000,18,56,26,57,23,57,488,533,313,135,0,0,0,73,1542,6,35
12/10/2015,2000 - 2100,5,24,12,26,8,26,487,146,0,0,0,0,0,21,654,3,24
12/10/2015,2100 - 2200,1,5,1,5,1,5,135,0,0,0,0,0,0,2,137,1,8
12/10/2015,2200 - 2300,6,28,13,33,10,33,219,73,15,0,0,0,0,7,314,3,13
12/10/2015,2300 - 0000,10,28,15,28,13,28,80,43,0,0,0,0,0,4,127,1,11
12/11/2015,0500 - 0600,11,28,20,44,15,44,154,107,15,0,0,0,0,9,285,1,34
12/11/2015,0600 - 0700,10,49,21,50,17,50,1172,946,308,60,0,0,0,68,2554,9,49
12/11/2015,0700 - 0800,5,16,9,19,8,19,185,24,0,0,0,0,0,5,214,1,32
12/11/2015,0800 - 0900,11,46,18,52,16,52,590,377,128,7,0,0,0,33,1135,4,27
12/11/2015,0900 - 1000,5,23,10,29,8,29,366,68,0,0,0,0,0,14,448,3,37
12/11/2015,1000 - 1100,10,53,13,53,12,53,895,305,63,11,0,0,0,31,1305,6,35
12/11/2015,1100 - 1200,9,29,14,30,12,30,487,217,0,0,0,0,0,18,722,3,38
12/11/2015,1200 - 1300,8,46,16,46,13,46,682,344,57,4,0,0,0,40,1127,5,40
12/11/2015,1300 - 1400,10,38,18,42,16,42,533,452,96,0,0,0,0,33,1114,3,45
12/11/2015,1400 - 1500,15,62,26,73,22,73,762,536,255,194,46,0,0,58,1851,7,46
12/11/2015,1500 - 1600,8,49,23,63,15,63,387,129,46,31,4,0,0,22,619,4,27
12/11/2015,1600 - 1700,7,47,12,60,10,60,550,163,12,6,0,0,0,24,755,5,35
12/11/2015,1700 - 1800,8,48,18,56,14,56,690,291,131,36,0,0,0,47,1195,5,34
12/11/2015,1800 - 1900,11,36,14,44,14,44,465,231,39,0,0,0,0,18,753,3,32
12/11/2015,1900 - 2000,10,36,14,38,12,38,787,344,15,0,0,0,0,35,1181,4,39
12/11/2015,2000 - 2100,7,42,16,47,11,47,468,141,51,1,0,0,0,19,680,4,22
12/11/2015,2100 - 2200,1,15,3,15,1,15,169,0,0,0,0,0,0,5,174,2,7
12/11/2015,2300 - 0000,5,16,8,18,7,18,109,8,0,0,0,0,0,3,120,1,8
12/12/2015,0500 - 0600,18,39,22,41,21,41,128,406,61,0,0,0,0,19,614,2,40
