Date,Time,Avg Wait Time (US),Max Wait Time (US),Avg Wait Time (Non-US),Max Wait Time (Non-US),Avg Wait Time,Max Wait Time,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Total,Flights,Booths
12/6/2016,0600 - 0700,11,47,22,68,19,68,1365,905,331,182,16,0,0,2887,12,37
12/6/2016,0700 - 0800,9,33,21,44,16,44,303,162,88,0,0,0,0,569,3,29
12/6/2016,0800 - 0900,4,16,8,21,7,21,455,41,0,0,0,0,0,511,4,31
12/6/2016,0900 - 1000,8,31,12,38,11,38,705,248,20,0,0,0,0,1005,7,27
12/6/2016,1000 - 1100,13,46,18,50,16,50,546,362,156,7,0,0,0,1112,7,31
12/6/2016,1100 - 1200,12,36,20,40,17,40,362,338,84,0,0,0,0,810,4,23
12/6/2016,1200 - 1300,7,29,11,28,9,29,557,125,0,0,0,0,0,707,4,27
12/6/2016,1300 - 1400,8,43,13,57,11,57,795,241,83,15,0,0,0,1191,6,34
12/6/2016,1400 - 1500,10,37,15,38,12,38,616,220,41,0,0,0,0,903,5,24
12/6/2016,1500 - 1600,9,24,9,23,9,24,160,20,0,0,0,0,0,190,1,22
12/6/2016,1600 - 1700,9,37,12,38,11,38,871,275,26,0,0,0,0,1237,6,29
12/6/2016,1700 - 1800,21,81,27,82,24,82,688,512,224,207,111,0,0,1801,9,35
12/6/2016,1800 - 1900,11,58,22,60,18,60,350,72,83,57,0,0,0,580,4,23
12/6/2016,1900 - 2000,12,39,22,44,16,44,426,283,87,0,0,0,0,833,5,23
12/6/2016,2000 - 2100,4,20,9,23,5,23,287,37,0,0,0,0,0,332,2,17
12/6/2016,2100 - 2200,4,23,10,25,6,25,321,34,0,0,0,0,0,367,3,19
12/6/2016,2200 - 2300,9,40,15,40,11,40,322,132,15,0,0,0,0,483,6,18
12/6/2016,2300 - 0000,5,31,16,39,12,39,230,82,38,0,0,0,0,363,3,17
12/7/2016,0500 - 0600,37,70,52,80,45,80,0,64,103,60,58,0,0,293,1,39
12/7/2016,0600 - 0700,15,62,33,69,28,69,766,810,644,520,82,0,0,2906,12,44
12/7/2016,0700 - 0800,14,28,15,28,15,28,139,118,0,0,0,0,0,266,2,26
12/7/2016,0800 - 0900,5,34,12,79,10,79,402,73,25,1,1,0,0,552,4,29
12/7/2016,0900 - 1000,11,65,23,74,19,74,943,488,227,155,34,0,0,1911,12,35
12/7/2016,1000 - 1100,7,39,16,46,11,46,630,192,54,1,0,0,0,902,5,21
12/7/2016,1100 - 1200,9,41,20,51,16,51,561,219,159,12,0,0,0,980,5,22
12/7/2016,1200 - 1300,7,36,20,77,15,77,529,206,97,1,23,0,0,904,5,34
12/7/2016,1300 - 1400,6,30,15,37,11,37,509,198,39,0,0,0,0,777,4,27
12/7/2016,1400 - 1500,7,45,20,63,15,63,833,183,142,88,10,0,0,1296,8,28
12/7/2016,1500 - 1600,6,26,10,31,8,31,497,81,2,0,0,0,0,602,3,23
12/7/2016,1600 - 1700,5,16,10,26,8,26,520,84,0,0,0,0,0,631,5,27
12/7/2016,1700 - 1800,12,44,14,41,13,44,977,314,145,0,0,0,0,1487,7,34
12/7/2016,1800 - 1900,8,37,20,44,17,44,560,393,166,0,0,0,0,1156,5,29
12/7/2016,1900 - 2000,12,36,20,44,16,44,312,198,61,0,0,0,0,588,3,29
12/7/2016,2000 - 2100,5,28,8,27,6,28,317,36,0,0,0,0,0,365,2,18
12/7/2016,2100 - 2200,2,13,3,13,2,13,150,0,0,0,0,0,0,155,2,14
12/7/2016,2200 - 2300,4,26,8,31,6,31,351,62,2,0,0,0,0,437,6,18
12/7/2016,2300 - 0000,1,26,2,26,1,26,321,17,0,0,0,0,0,358,3,23
12/8/2016,0500 - 0600,12,47,17,47,15,47,174,120,32,5,0,0,0,343,2,39
12/8/2016,0600 - 0700,10,55,22,59,18,59,1214,962,467,57,0,0,0,2792,10,43
12/8/2016,0700 - 0800,4,18,9,25,7,25,303,43,0,0,0,0,0,357,2,25
12/8/2016,0800 - 0900,5,26,12,36,9,36,496,114,13,0,0,0,0,647,5,31
12/8/2016,0900 - 1000,6,25,13,40,11,40,674,245,34,0,0,0,0,1006,7,33
12/8/2016,1000 - 1100,7,30,17,42,14,42,503,279,59,0,0,0,0,869,7,22
12/8/2016,1100 - 1200,10,39,19,38,16,39,356,316,75,0,0,0,0,769,3,24
12/8/2016,1200 - 1300,11,71,27,82,20,82,774,310,202,100,59,0,0,1500,10,25
12/8/2016,1300 - 1400,10,70,37,102,28,102,592,238,122,93,207,27,0,1360,6,25
12/8/2016,1400 - 1500,16,59,40,77,29,77,396,272,120,138,168,0,0,1124,5,28
12/8/2016,1500 - 1600,5,19,14,43,11,43,365,93,40,0,0,0,0,520,3,30
12/8/2016,1600 - 1700,7,33,16,40,12,40,747,277,35,0,0,0,0,1089,6,34
12/8/2016,1700 - 1800,7,48,20,56,14,56,739,241,114,48,0,0,0,1194,6,35
12/8/2016,1800 - 1900,9,62,21,64,16,64,613,196,88,72,4,0,0,1001,5,26
12/8/2016,1900 - 2000,17,73,35,75,25,75,328,253,98,106,62,0,0,874,4,30
